16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan
97.8,97.8,97.83,97.84,97.83,97.84,97.87,97.9,97.91,97.9
96.46,96.44,96.47,96.46,96.38,96.4,96.41,96.47,96.46,96.4
96.48,96.45,96.58,96.5,96.4,96.4,96.39,96.47,96.48,96.29
95.38,95.42,95.61,95.59,95.44,95.38,95.34,95.47,95.5,95.3
92.74,92.75,93.03,93.03,92.87,92.82,92.81,92.97,93,92.72
91.08,91.19,91.43,91.51,91.32,91.23,91.21,91.41,91.45,91.17
92.72,92.84,93.24,93.29,92.95,92.9,92.91,93.05,93.04,92.77
93.14,93.25,93.73,93.78,93.39,93.33,93.35,93.5,93.46,93.14
99.1,99.22,99.71,99.71,99.24,99.14,99.15,99.29,99.24,98.86
95.91,96.02,96.61,96.59,96.04,95.94,95.95,96.12,96.04,95.62
